ForeignId;ForeignName;ForeignKey;ForeignNameId;ForeignLocation；Star;CCommentCount;CRecommendCommentCount;CNeedToImproveCommentCount;CScore;CPrice;COpenYear;RoomCount;
雅客滨江酒店式服务公寓;百时快捷酒店（上海人民广场淮海东路店）;http://hotels.ctrip.com/hotel/dianping/1329535.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/1329535.html;新天地地区;hotel_diamond02;260;252;8;;;;;
锦江之星上海虹桥哈密路店;锦江之星（上海虹桥哈密路店）;http://hotels.ctrip.com/hotel/dianping/643459.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/643459.html;虹桥地区;hotel_halfdiamond02;1725;1635;90;;;2009;140;
莫泰168酒店上海新村路店;锦江之星（上海虹桥哈密路店）;http://hotels.ctrip.com/hotel/dianping/643459.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/643459.html;虹桥地区;hotel_halfdiamond02;1725;1635;90;;;2009;140;
上海如家张江园区店;莫泰168（上海大华新村路地铁站店）;http://hotels.ctrip.com/hotel/dianping/1569568.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/1569568.html;大宁国际商业区;hotel_halfdiamond02;998;956;42;;;2009;90;
上海捷家宾馆浦东机场店;上海张江和颐酒店;http://hotels.ctrip.com/hotel/dianping/662836.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/662836.html;浦东张江地区;hotel_halfdiamond04;3263;3168;95;;;2013;152;
格林豪泰上海浦东塘桥快捷酒店;捷家宾馆（上海浦东机场店）;http://hotels.ctrip.com/hotel/dianping/480097.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/480097.html;浦东机场核心区;hotel_halfdiamond02;390;348;42;;;2010;52;
丽都太平洋公寓酒店;上海景廷客房;http://hotels.ctrip.com/hotel/dianping/1330700.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/1330700.html;浦东陆家嘴金融贸易区;;46;41;5;;;;;
上海汉庭七莘路店;汉庭酒店（上海恒隆广场店）;http://hotels.ctrip.com/hotel/dianping/1487246.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/1487246.html;南京西路商业区;hotel_halfdiamond02;1544;1476;68;;;2011;115;
上海汉庭七宝店;汉庭酒店（上海七莘路店）;http://hotels.ctrip.com/hotel/dianping/823784.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/823784.html;七宝古镇;hotel_halfdiamond02;411;381;30;;;2010;80;
上海莫泰168北外滩大连路地铁站店;汉庭酒店（上海虹桥枢纽七宝二店）;http://hotels.ctrip.com/hotel/dianping/975274.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/975274.html;七宝古镇;hotel_halfdiamond02;1722;1663;59;;;2011;147;
