Name;Star;Ranking;Locality;Location;TCommentCount;TExcellentCount;TGoodCount;TNormalCount;TBadCount;TVeryBadCount;TFamilyCat;TCoupleCat;TSoloCat;TBusinessCat;
七重天宾馆;;165;人民广场;31.23516,121.47856;262;34;131;68;17;11;36;63;23;25;
锦江之星上海外滩店;;190;人民广场;31.231913,121.47932;326;42;218;55;10;1;4;10;15;12;
中福大酒店;;393;人民广场;31.234457,121.47856;507;32;224;172;46;32;23;23;29;67;
上海老饭店;;811;;;31.22788,121.49073;47;10;14;9;7;0;0;0;1;0;
上海汉庭人民广场店;;1,001;人民广场;31.23005,121.48141;47;4;17;14;7;5;0;2;0;2;
上海汉庭四川中路店;;1,083;外滩;,;7;1;2;1;0;3;0;0;0;1;
上海莫泰168南京路步行街南京东路地铁站店;;1,623;人民广场;31.23942,121.48121;2;0;0;2;0;0;0;1;0;0;
上海都市假日酒店大江南店;;1,692;人民广场;,;10;1;4;4;0;1;0;0;1;1;
7天上海南京路步行街二店;;1,718;人民广场;31.23942,121.48121;2;1;1;0;0;0;0;0;0;1;
河滨缘宾馆;;1,833;Qipu Road;,;4;0;2;2;0;0;0;0;0;0;
凯恩宾馆;;2,509;外滩;31.242407,121.485664;36;4;14;13;2;3;0;0;0;1;
上海海友外滩北京东路店;;;人民广场;,;;;;;;;;;;;
上海如家外滩南京路步行街店;;;人民广场;,;;;;;;;;;;;
上海速8南京路步行街一店;;;人民广场;,;;;;;;;;;;;
春申江宾馆;;225;人民广场;31.23597,121.47817;69;10;35;18;3;2;7;7;6;5;
上海锦江之星南京路步行街店;;451;人民广场;31.23535,121.47746;190;23;103;37;14;13;12;12;10;6;
上海外滩源青年旅舍;;501;外滩;31.242735,121.48702;73;6;34;24;5;4;5;11;11;1;
海螺之星假日酒店;;904;人民广场;31.227892,121.48244;5;1;4;0;0;0;0;0;0;0;
上海湖滨假日酒店;;905;外滩;31.242422,121.48438;163;15;65;60;17;6;3;15;13;5;
上海金广快捷南京路步行街福建中路店;;1,051;人民广场;31.238016,121.47916;51;4;18;20;5;4;2;3;4;0;
上海和颐酒店南京东路店;;1,175;人民广场;31.233751,121.47758;62;6;28;21;5;2;1;1;1;5;
上海汉庭外滩金陵东路店;;1,211;人民广场;31.22817,121.48303;2;1;0;1;0;0;0;1;0;0;
东淮海公寓;;2,082;城隍庙;,;1 ;;;;;;;;;;
海翎宾馆;;;人民广场;,;;;;;;;;;;;
灵达时尚宾馆;;;南外滩;,;;;;;;;;;;;
宏泉艾瑞酒店;;144;人民广场;31.227577,121.48187;18;10;7;1;0;0;2;3;0;8;
南新雅大酒店;;301;;;31.234632,121.47697;373;67;153;105;27;19;28;37;15;80;
黄浦饭店;;464;虹口区;31.243692,121.49125;7;3;4;0;0;0;0;0;0;1;
莫泰168上海金陵路店;;473;人民广场;31.22742,121.48159;262;21;140;75;22;4;1;10;5;3;
7天上海南京路步行街店;;491;人民广场;31.23559,121.47638;119;16;64;28;8;3;2;3;2;1;
海上星喔豪都酒店;;633;人民广场;31.22788,121.48138;89;10;49;22;7;1;0;3;8;1;
上海百时快捷淮海东路店;;658;人民广场;31.227724,121.48121;21;9;10;2;0;0;0;1;1;1;
海上小喔(人民广场店) ;;773;人民广场;31.228014,121.48135;25;5;17;3;0;0;0;0;0;1;
凤凰会所;;783;人民广场;31.22875,121.47983;13;0;9;3;0;0;1;4;4;0;
东方宾馆;;1,468;人民广场;31.230507,121.47767;17;1;8;7;1;0;0;0;0;0;
小绍兴大酒店;;1,593;人民广场;,;4;0;1;3;0;0;0;0;0;0;
上海汉庭外滩延安东路店;;1,688;虹口区;,;1 ;;;;;;;;;;
汇泾假日酒店;;2,093;城隍庙;,;2;0;0;2;0;0;0;0;0;0;
上海如家人民广场金陵东路店;;2,186;人民广场;,;1 ;;;;;;;;;;
艾妮时尚宾馆;;;人民广场;,;;;;;;;;;;;
帝易宾馆;;;人民广场;,;;;;;;;;;;;
如鸿商务酒店;;;人民广场;,;;;;;;;;;;;
新都宾馆;;;人民广场;,;;;;;;;;;;;
上海扬子精品酒店;;31;人民广场;31.2335,121.47643;633;392;187;40;9;5;69;169;48;173;
上海世茂皇家艾美酒店;;41;人民广场;31.234455,121.47578;2,084;1,059;746;184;54;32;157;260;90;740;
上海浦江饭店;;93;The North Bund;31.244263,121.49084;979;336;460;114;45;14;141;261;86;66;
国际会议中心东方滨江大酒店;;116;;;31.24017,121.49716;430;124;210;68;16;7;12;20;8;94;
上海大厦;;147;The North Bund;31.244364,121.48982;528;140;256;77;27;25;45;118;34;58;
海鸥饭店;;222;The North Bund;31.243853,121.4917;279;43;129;59;29;15;19;45;17;49;
新光迎宾馆;;635;人民广场;,;7;0;5;2;0;0;1;0;0;1;
远东饭店;;1,192;人民广场;31.23007,121.4778;7;0;4;3;0;0;0;0;0;0;
上海如家北京东路科技城店;;1,269;;;31.24003,121.47747;54;5;25;12;9;3;0;0;0;1;
海上小喔北京东路店;;1,894;人民广场;,;4;0;1;2;0;0;0;0;0;0;
上海上服假日酒店南京路步行街;;2,505;人民广场;31.235203,121.47627;53;10;25;15;1;2;5;2;1;2;
上海爱舍空间主题概念酒店淮海东路店;;;人民广场;,;1 ;;;;;;;;;;
上海海友人民广场店;;;人民广场;,;1 ;;;;;;;;;;
上海浦东香格里拉大酒店;;18;陆家嘴;31.235987,121.50027;2,650;1,578;883;140;29;13;103;161;71;781;
外滩茂悦大酒店;;64;虹口区;31.24495,121.492874;1,432;816;430;132;27;26;137;191;79;516;
锦江都城上海青年会经典酒店;;96;;;31.227184,121.47938;251;67;144;32;1;7;23;58;29;50;
上海外滩中南海滨酒店;;171;The North Bund;31.244696,121.49175;191;27;74;53;23;13;10;13;10;19;
上海锦江之星淮海东路店;;207;人民广场;31.228226,121.477196;117;34;65;16;2;0;5;4;5;5;
上海汉庭全季淮海路店;;278;新天地;31.22544,121.48215;66;13;39;12;1;1;0;1;1;3;
上海宜必思酒店豫园店;;336;城隍庙;31.22449,121.49153;315;31;126;100;41;17;37;61;64;66;
上海云悦酒店;;438;城隍庙;31.224077,121.48455;298;51;145;66;17;19;12;45;21;45;
金辰大酒店;;999;人民广场;31.22601,121.48104;36;5;18;8;3;2;0;0;3;7;
银波大酒店;;1,535;虹口区;31.2456,121.49024;40;1;12;18;5;4;2;1;1;0;
铁道宾馆;;1,553;;;31.23831,121.4751;41;5;15;14;3;3;0;0;1;1;
卢湾财贸招待所;;1,970;人民广场;,;1 ;;;;;;;;;;
申祥大酒店;;2,141;城隍庙;,;1 ;;;;;;;;;;
锦佳饭店;;2,412;虹口区;,;9;5;0;0;0;4;0;0;0;0;
上海福宁宾馆;;2,487;虹口区;,;1 ;;;;;;;;;;
飘鹰大酒店;;2,503;虹口区;31.24569,121.48773;68;2;23;21;11;11;6;6;5;6;
海鸥富巢商务酒店;;;虹口区;,;;;;;;;;;;;
明珠湖度假村;;;虹口区;,;;;;;;;;;;;
上海雅居乐万豪酒店;;15;人民广场;31.236958,121.47354;916;609;229;45;14;10;130;146;41;407;
汇江假日酒店;;1,111;新天地;31.224155,121.481995;4;1;2;1;0;0;0;0;0;2;
好运来宾馆;;1,280;人民广场;,;53;5;18;18;10;2;0;0;0;0;
上海曼豪连锁短租公寓外滩店;;1,428;虹口区;,;1 ;;;;;;;;;;
浙城旅馆;;1,910;;;,;1 ;;;;;;;;;;
恒升半岛酒店公寓;;2,537;虹口区;,;2;0;1;0;0;1;0;1;0;1;
番茄小喔旅馆;;;虹口区;,;;;;;;;;;;;
上海乐家酒店公寓外滩店;;;虹口区;,;;;;;;;;;;;
上海一站一家曼豪公寓酒店外滩店;;;虹口区;,;;;;;;;;;;;
上海浦东丽思卡尔顿酒店;;4;陆家嘴;31.236826,121.50144;799;610;138;32;8;3;62;114;32;346;
新世界丽笙大酒店;;36;人民广场;31.234636,121.473;1,437;707;560;127;22;20;150;227;78;518;
上海金门大酒店;;263;;;31.23408,121.47271;308;38;130;102;20;12;18;24;34;45;
上海汉庭外滩外白渡桥店;;290;虹口区;31.245564,121.49462;92;18;54;15;4;1;2;1;4;4;
吴宫大酒店;;444;;;31.238983,121.47381;100;15;56;21;6;2;2;2;2;9;
恒升半岛国际酒店;;532;虹口区;31.24744,121.48934;313;36;140;84;40;12;9;15;4;10;
鑫龙河岸酒店;;549;;;31.23936,121.47345;41;8;20;6;4;3;0;2;1;0;
一百假日酒店;;718;虹口区;31.246342,121.492966;183;21;79;67;13;3;0;1;0;0;
上海回家酒店公寓外滩店;;958;虹口区;31.24706,121.48904;10;4;3;1;1;1;4;2;2;1;
上海宾源酒店公寓;;1,097;虹口区;31.24706,121.48904;3;1;2;0;0;0;1;0;0;1;
恒升半岛酒店式公寓;;1,162;虹口区;31.247469,121.48945;4;1;1;1;0;1;0;1;0;0;
天利宾馆;;1,550;;;31.23936,121.47345;9;1;3;3;0;2;0;0;0;0;
上海新亚之星龙申店;;1,647;南外滩;,;2;1;0;1;0;0;0;0;0;0;
宇航宾馆;;1,765;虹口区;31.24704,121.48492;32;3;15;8;5;1;0;1;4;1;
中百大酒店;;2,202;;;,;1 ;;;;;;;;;;
京晶宾馆;;2,460;;;,;2;0;1;0;0;1;0;0;0;0;
恒升苑酒店公寓;;2,552;虹口区;,;1 ;;;;;;;;;;
上海徽苑酒店公寓外滩店;;;虹口区;,;;;;;;;;;;;
原胜商务酒店;;;;;,;;;;;;;;;;;
泸富旅馆;;;虹口区;,;;;;;;;;;;;
上海迁佑连锁短租公寓恒升半岛公寓;;;虹口区;,;;;;;;;;;;;
上海国际饭店;;201;;;31.233433,121.47192;327;56;143;89;29;6;11;28;25;58;
上海锦江之星新亚大酒店;;427;Qipu Road;31.24693,121.48076;328;33;154;93;34;13;12;29;18;15;
华美国际酒店;;1,098;新天地;31.2221,121.48173;195;6;74;65;29;19;9;12;10;15;
体育俱乐部;;1,181;人民广场;,;4;2;1;0;0;1;0;0;1;0;
上海吉泰酒店海宁路店;;1,349;虹口区;,;21;2;8;6;1;4;0;0;1;1;
上海布丁人民广场店;;1,359;;;31.239536,121.47267;7;0;4;3;0;0;0;0;0;0;
上海清雅阁短租公寓海宁路店;;1,698;Qipu Road;31.24729,121.48011;2;2;0;0;0;0;0;1;0;1;
上海布丁连锁外滩四川北路地铁站店;;1,711;虹口区;,;1 ;;;;;;;;;;
东园旅馆;;;陆家嘴;,;;;;;;;;;;;
金桂旅馆;;;虹口区;,;;;;;;;;;;;
上海弗思特连锁酒店四川北路店;;;虹口区;,;;;;;;;;;;;
心之港湾旅店;;;人民广场;,;1 ;;;;;;;;;;
缘豪大酒店;;;虹口区;,;;;;;;;;;;;
上海迁佑连锁短租公寓丽晶馆公寓;;;虹口区;,;;;;;;;;;;;
上海外滩英迪格酒店;;11;南外滩;31.226208,121.5001;1,158;834;238;39;17;6;111;291;58;377;
宝御酒店;;153;虹口区;31.248962,121.48945;59;24;22;9;4;0;4;10;2;25;
广场嘉廷酒店;;285;;;31.238655,121.47125;73;18;30;13;4;8;2;19;7;7;
上海如家外滩城隍庙店;;681;城隍庙;31.221575,121.49475;20;3;14;3;0;0;0;0;0;1;
凯轩宾馆;;1,182;虹口区;31.249712,121.48681;2;0;1;0;0;0;0;0;0;0;
上海汉庭四川北路店;;1,319;虹口区;31.249573,121.48689;37;8;15;11;0;3;0;0;1;0;
格林联盟上海城隍庙外滩酒店;;1,372;城隍庙;31.221575,121.49475;11;4;4;3;0;0;0;0;0;0;
豪泰158;;1,638;人民广场;31.23486,121.47055;5;1;0;4;0;0;0;0;0;0;
大富豪假日酒店;;1,658;人民广场;31.23574,121.4701;3;0;3;0;0;0;0;0;0;0;
申客居酒店;;1,725;人民广场;,;5;1;1;3;0;0;0;0;0;0;
茉莉苑大酒店;;1,800;Sichuan North Road;,;2;0;2;0;0;0;0;0;0;0;
银行家俱乐部;;1,849;陆家嘴;,;3;0;2;0;0;1;0;0;0;0;
新凯福大酒店;;1,877;虹口区;,;3;0;3;0;0;0;0;0;0;0;
南天门大酒店;;2,142;南外滩;,;1 ;;;;;;;;;;
上海元贞居家旅店连锁乍浦路店;;2,257;虹口区;31.2494,121.48673;1 ;;;;;;;;;;
长逊旅馆;;2,352;人民广场;31.23494,121.4705;2;0;0;1;1;0;0;0;0;0;
上海汉庭七浦路店;;;;;,;;;;;;;;;;;
望云宾馆;;;城隍庙;,;;;;;;;;;;;
上海明天广场JW万豪酒店;;9;人民广场;31.230711,121.46989;1,077;710;291;52;21;3;95;140;42;403;
滨江欣景大酒店;;172;南外滩;31.2244,121.50066;200;36;100;46;11;7;23;54;13;37;
新协通国际大酒店;;193;;;31.245558,121.47443;628;114;280;139;61;30;65;146;61;83;
上海来天华酒楼黄河路店;;537;人民广场;,;3;1;1;1;0;0;1;0;0;1;
祥福宾馆;;2,122;人民广场;,;2;0;1;1;0;0;0;0;0;0;
盛捷高级服务公寓;;2,144;新天地;,;3;1;2;0;0;0;0;0;0;0;
上海如家南京路步行街黄河路店;;2,329;;;31.23745,121.46935;4;2;1;0;0;1;0;0;1;0;
安徒生文化大酒店 ;;2,472;虹口区;31.25047,121.48678;17;2;5;6;1;3;0;2;1;4;
上海24K国际酒店人民广场店;;2,479;人民广场;31.22836,121.47081;101;6;38;42;8;6;2;3;3;3;
安怡宾馆;;;人民广场;,;;;;;;;;;;;
汇景宾馆;;;虹口区;,;;;;;;;;;;;
佳铭宾馆;;;虹口区;,;;;;;;;;;;;
上海海上风酒店连锁黄河路店;;;人民广场;,;;;;;;;;;;;
上海裕家连锁酒店黄河路店;;;人民广场;,;;;;;;;;;;;
上海金茂君悦大酒店;;12;陆家嘴;31.234922,121.50587;1,853;1,092;582;121;31;16;104;169;48;533;
上海新天地安达仕酒店;;16;新天地;31.222198,121.47562;460;299;124;25;8;3;41;61;28;241;
上海凯宾斯基大酒店;;27;陆家嘴;31.242588,121.50414;659;379;198;57;18;6;50;77;16;300;
